"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC119870335",13.1377334680697,-23.9828506081139,2.44667937649073,-9.80220409693094,1.10155304125823e-22,1.42926507103256e-18
"TRNAG-CCC.3",1168.64512292309,-30,3.04827599788922,-9.8416285207683,7.44950820287994e-23,1.42926507103256e-18
"TRNAQ-CUG.5",145.56333454209,-26.4454185115882,2.78815353392851,-9.48492189894815,2.42564654055117e-21,2.09818425757676e-17
"TRNAQ-CUG.8",289.19899320392,-28.1958835204771,3.0484741557126,-9.24917912380536,2.26223311817882e-20,1.4115300246877e-16
"TRNAQ-CUG.9",290.44185694871,-28.135794422758,3.04847305496677,-9.22947125181814,2.71971103022679e-20,1.4115300246877e-16
"TRNAA-UGC.4",147.609329735183,-27.2662494420405,3.04872675045067,-8.9434874535771,3.77078157543786e-19,1.63086303137688e-15
"TRNAK-CUU.10",77.9212752666975,-26.3928386623918,3.04918823978326,-8.65569344589492,4.89923792337628e-18,1.7001974268407e-14
"TRNAQ-CUG.7",76.3100563900397,-26.3695269394161,3.04920887730687,-8.64798969190536,5.24145642185959e-18,1.7001974268407e-14
"TRNAS-GCU.7",117.461748647016,-25.9973039191702,3.04885944098728,-8.52689486752848,1.50328376109476e-17,4.33446817782322e-14
"TRNAD-GUC",151.571288115872,-9.05025970770603,1.21402703943545,-7.45474311009959,9.00430996158606e-14,2.33661843503158e-10
"TRNAL-AAG.3",100.466734543357,-8.55983595687977,1.31339303925863,-6.51734530412277,7.1562560444012e-11,1.68822585774737e-07
"LOC119874884",3220.06970799908,-7.98013217072079,1.26914520659823,-6.28780074118585,3.21994824208881e-10,6.96313807351705e-07
"LOC119874872",3125.21487353404,-7.99138379302827,1.28243597208253,-6.23140957287026,4.62256796170747e-10,8.963010813873e-07
"LOC119874885",3120.09049734054,-7.87836525638271,1.26573281466068,-6.22435095711314,4.83553569919930e-10,8.963010813873e-07
"LOC102157137",79.224328741878,-2.66345344454735,0.429542233954352,-6.20067884833508,5.62201311132315e-10,9.72608268258904e-07
"LOC119872052",136.162483282543,-5.88081122918716,0.964746343955172,-6.09570719395276,1.08954687716097e-09,1.76710884139544e-06
"TRNAG-GCC.7",231.798933726022,-13.1825244480748,2.20794350604784,-5.97049897878554,2.36529063997703e-09,3.61054659455318e-06
"LOC119867494",1806.61047120362,-2.44326551643614,0.411917211771739,-5.93144798666499,3.00274688907006e-09,4.32896009840933e-06
"TRNAG-GCC.6",226.698434856479,-13.1497834532436,2.22687878909307,-5.9050288312275,3.52585083255306e-09,4.81556995288169e-06
"LOC119877772",7512.0582710108,-7.29615505734142,1.23905988229944,-5.8884604058048,3.89809908715069e-09,5.05778356557802e-06
"TRNAD-GUC.1",191.886378823673,-9.87424520858414,1.70036538784953,-5.8071313843151,6.35522662970701e-09,7.85324433528081e-06
"LOC119873493",115.255087222565,-6.07503825405213,1.06717107340112,-5.69265641233203,1.25077926529253e-08,1.41120530149309e-05
"TRNAE-UUC.5",1029.50557142131,-13.7852001028489,2.42034690260967,-5.69554723250017,1.22976833467725e-08,1.41120530149309e-05
"TRNAG-CCC.1",1432.81171991842,-14.235909398407,2.5102633914803,-5.6710819457125,1.41898500160475e-08,1.49251007727555e-05
"C37H2orf88",613.649030782967,-1.63683996261601,0.288744556629748,-5.66881669293216,1.43787098003425e-08,1.49251007727555e-05
"TRNAV-CAC",180.355758825769,-10.8830799003964,1.94543487609466,-5.59416305018832,2.21688547487066e-08,2.21262223357283e-05
"LOC119871803",43.3710120021307,-4.5135418564556,0.812230147672746,-5.55697405395268,2.74491544037518e-08,2.63816872880504e-05
"TRNAG-GCC.3",331.426079530956,-11.1331019056315,2.01179955876228,-5.53390215100801,3.13183733669689e-08,2.90254210311729e-05
"RASGRP3",651.088484490662,-2.44918701403651,0.444207158512194,-5.51361446366533,3.51538223726082e-08,3.1456610019627e-05
"LOC106558637",122.617312832331,-5.54342505454248,1.00795508604707,-5.49967466931716,3.8049262328678e-08,3.29126119143065e-05
"TRNAD-GUC.4",320.361981795157,-10.6839287489635,1.95778380529193,-5.45715452343849,4.83825282540891e-08,4.05008583288262e-05
"LOC119877774",1028469.33794151,-4.58870809350167,0.845531488839142,-5.42701029361031,5.73058246157399e-08,4.64714421493266e-05
"TRNAH-GUG.5",79.584693629102,-6.83193695423755,1.26373219523955,-5.40615882065308,6.43907050452431e-08,5.06345089673957e-05
"LOC102152165",148.037511050647,-2.39572127819257,0.444462093387997,-5.3901588320631,7.03954380719885e-08,5.07433782768917e-05
"TRNAG-GCC.2",480.328507314762,-10.3603361069587,1.9214670080458,-5.39188862654243,6.97209782130993e-08,5.07433782768917e-05
"TLR7",199.40771795037,-2.80077694142109,0.519136488927765,-5.39506854393123,6.84973986466594e-08,5.07433782768917e-05
"TRNAH-GUG.1",69.8238005390331,-6.89569795524808,1.28238314450372,-5.37725248869885,7.56310777447733e-08,5.16480649336018e-05
"WIPF1",1443.58130382303,-1.57809490840199,0.293403457740862,-5.37858319923341,7.50742870414112e-08,5.16480649336018e-05
"LOC119873539",44.2910352180517,-6.2015004773622,1.15823044509611,-5.35428895313454,8.58935069597547e-08,5.71522180924522e-05
"LOC119865458",64.4564733295494,-5.38083901023212,1.00987468152137,-5.32822449031591,9.91774953898431e-08,6.43414001341607e-05
"TRNAV-CAC.2",62.8458429476959,-8.59617695035204,1.62233381760623,-5.29864868565446,1.1666285506888e-07,7.38390509521327e-05
"TRNAG-UCC",170.400502729827,-9.77549093339021,1.85565982662387,-5.26793262058998,1.37968726210864e-07,8.32625219807422e-05
"CREB3L2",1108.09931781653,-1.57717983235514,0.29930595011905,-5.26945699451618,1.36827922419401e-07,8.32625219807422e-05
"LOC119865805",105.929072395601,-5.80483614572826,1.10730459887397,-5.24231196333084,1.58576963199994e-07,9.35243680690876e-05
"LOC119877773",7357.57279875935,-5.1309991001378,0.985591247101957,-5.20601122952851,1.92942974606556e-07,0.000111263782023114
"LOC102154792",102.448740439933,-2.42993720812288,0.469240349393713,-5.17844897878562,2.23738244874976e-07,0.000126217553358818
"LOC119869939",72.1954507750834,-2.32223919382821,0.449318442147617,-5.16835939946858,2.36157848641199e-07,0.000130389280260407
"LOC119874890",1517.37431326063,-9.44698989325906,1.84755196923778,-5.11324717818707,3.16667491737267e-07,0.00017119836272046
"TRNAE-UUC.4",1140.01705701009,-15.4679412270314,3.04827763123752,-5.07432166562594,3.88880743026329e-07,0.000204492570885647
"LOC119867493",2611.41378451554,-1.76482967174768,0.34796718457603,-5.07182789060404,3.94012660665986e-07,0.000204492570885647
"LOC119867571",73.0925992013755,-6.40336470367475,1.27025902694071,-5.04099130009462,4.63126523489265e-07,0.000235649672246009
"ELOVL7",1037.0539246326,-1.33498721553537,0.265519494483102,-5.02783126389363,4.96058070512877e-07,0.000247552056342484
"TRNAE-UUC.7",692.980176660992,-12.2906148528488,2.45891949944326,-4.99838032746967,5.78138692752138e-07,0.000283069793904113
"LOC119869646",43.3150244723167,-5.78179694865975,1.16825542360937,-4.94908633147762,7.45626708268645e-07,0.000358315057029099
"LOC119871390",67.2597071574173,-5.61244496800721,1.13677384162812,-4.93716934933065,7.92646372377026e-07,0.000360862690582173
"LOC119873489",56.3122970661549,-5.54125671362462,1.12088818559985,-4.9436302253995,7.6681086473717e-07,0.000360862690582173
"LOC119873789",36.4871596788499,-6.24553402537272,1.26461054573108,-4.93870152076119,7.8644479126828e-07,0.000360862690582173
"TRNAV-AAC",44.6307151356238,-8.66203299191552,1.7591528070145,-4.92397985972354,8.4801568234491e-07,0.000366415846246438
"LOC119865803",62.0298359811588,-7.20790098975098,1.46245774835359,-4.92862169718444,8.28117453847464e-07,0.000366415846246438
"TRNAD-GUC.9",288.392350600298,-10.8837486270754,2.21149148328079,-4.92145174845042,8.5904583242949e-07,0.000366415846246438
"LOC119870489",35.043291247258,-5.52444275427834,1.1226412332383,-4.92093341195288,8.61324339924189e-07,0.000366415846246438
"LOC119864844",183.893023647307,-5.54295177352489,1.13055127020925,-4.90287518981688,9.44439954540664e-07,0.000388230604330297
"LOC111091795",135.176179786248,-1.96373775241257,0.400790238045964,-4.89966462752859,9.60003818647296e-07,0.000388230604330297
"LOC119867567",83.0781928256705,-6.02405065475465,1.2289478375387,-4.90179523552396,9.49647943447073e-07,0.000388230604330297
"TRNAM-CAU.9",316.350806286729,-10.8246612918748,2.2104075324263,-4.8971337335215,9.72446600441976e-07,0.000388230604330297
"SCN7A",1046.13682623645,-2.89022124765792,0.590864210573682,-4.89151516699878,1.00062681302226e-06,0.000391292310881577
"TRNAE-CUC.8",1029.37067996796,-10.4548945607019,2.13817840812632,-4.88962685291707,1.01027301846111e-06,0.000391292310881577
"LOC111096046",17.4318019134391,-6.71266071220463,1.37459591738178,-4.88337017979101,1.04287820068954e-06,0.000397980725116081
"LOC119869668",32.6787937777547,-5.85402368230295,1.20221404468076,-4.8693689016563,1.11955229752262e-06,0.000415158815273223
"TRNAE-CUC.9",983.243452626489,-11.0279008942114,2.2660820515203,-4.86650555606002,1.13588731731787e-06,0.000415158815273223
"LOC119870511",22.8381125512682,-5.28523670322832,1.08592007672269,-4.86705865055849,1.13271421719997e-06,0.000415158815273223
"LOC119865044",66.6185044048838,-6.09146678638823,1.25802297005338,-4.84209504229463,1.28477282199577e-06,0.000458012270416263
"TRNAS-AGA.5",35.4267198136844,-7.31536310564871,1.51096116878399,-4.84152952225508,1.28843528864691e-06,0.000458012270416263
"LOC119873488",82.2846991079132,-4.98154477771612,1.03044045555751,-4.83438392858996,1.33558604876698e-06,0.000468357540074368
"TRNAG-GCC.4",224.065915611489,-11.1416051374882,2.31553715688819,-4.81167192862549,1.49672899497821e-06,0.000517868232262462
"TRNAN-GUU",32.6039005548365,-8.16138929655802,1.69913130508866,-4.80327169072561,1.56093852504073e-06,0.000532978351642196
"TRNAV-CAC.5",70.144781459414,-9.52750776432447,1.98754165488258,-4.7936141317689,1.63803199112084e-06,0.000552038054150466
"LOC119866269",22.2535920338061,-5.62240414576164,1.1754622253651,-4.78314319629908,1.72575091305856e-06,0.000574144053767561
"IL7R",164.4903428743,-2.13196094019036,0.445963287557334,-4.78057499277061,1.74794539402583e-06,0.000574166873100891
"TRNAM-CAU.6",267.01026852273,-10.5819257395792,2.21722914795668,-4.7725900362311,1.81871759210989e-06,0.000589946518940645
"TRNAD-GUC.7",171.725783747059,-10.8932084065273,2.28435626954451,-4.76861186311335,1.85499660950361e-06,0.000594285950822452
"LOC119874321",159.141549274642,-9.62827532561318,2.02779576484006,-4.7481484538817,2.05287334524539e-06,0.00064183208806166
"LOC119867544",82.988443691195,-6.07235529226987,1.27843432503895,-4.74983749523845,2.03580175394431e-06,0.00064183208806166
"TRNAV-CAC.1",60.6020644101927,-9.3143393095947,1.96935899122701,-4.72962997152255,2.24929419978398e-06,0.000687623341622298
"TRNAD-GUC.8",296.560615596948,-10.5062327776376,2.2214932975453,-4.7293560548874,2.25233079144105e-06,0.000687623341622298
"TRNAE-CUC.11",629.549631594385,-10.5351135994766,2.22956480959333,-4.72518832112273,2.29902200086188e-06,0.000693716522353091
"LOC111093396",102.655698617411,-2.7260801146424,0.578071412397469,-4.71581893893761,2.40740453476928e-06,0.000718070662957045
"TRNAN-GUU.2",32.8353450073084,-7.17621590795818,1.52793650252859,-4.69667155413999,2.64435147307667e-06,0.00077978319007204
"TRNAQ-CUG",242.148956129995,-13.5907257445501,2.89722502615605,-4.69094586090258,2.71944928887445e-06,0.000792918079171821
"LOC119872433",20.7004465264024,-5.88911602817717,1.2579509567981,-4.68151480497053,2.84762827093554e-06,0.000821066151453082
"LOC119867267",44.169850008283,-4.46612212982661,0.956346313308518,-4.6699841549824,3.01222968578078e-06,0.000858981981824301
"TRNAW-CCA.4",40.656105930036,-8.48855170374237,1.82251101969676,-4.65761337627179,3.19896257440445e-06,0.000902316073976037
"LOC119866957",250.806567984515,-7.7116919787321,1.66091084285008,-4.64304993367315,3.43303338440872e-06,0.000957927057262433
"LOC119866156",10.8460325011363,-3.88504854147333,0.83993085256443,-4.62543854605617,3.73806629919084e-06,0.00103194489855322
"LOC119864527",81.7474707544528,-5.53203693514408,1.20250496997679,-4.60042750197604,4.21624745636799e-06,0.00115170127887105
"IFGGB1",64.8694028345808,-2.46489753618034,0.536349423715659,-4.5956934550322,4.31312409082505e-06,0.00116589135580114
"LOC119874083",44.1084728589483,-6.52133877871901,1.4263998230328,-4.57188697966422,4.83351638534718e-06,0.00127989541020162
"TRNAR-ACG.4",10.2881448817175,-6.87232467578801,1.50276275121533,-4.57312684269699,4.80499050749414e-06,0.00127989541020162
"LOC106559248",170.477685166726,-3.32173339045115,0.728263177895694,-4.56117169077428,5.08689647370898e-06,0.00130617581707141
"KCTD8",1449.60637617993,1.18431656413753,0.260044076932958,4.55429163434804,5.25623944975978e-06,0.00130617581707141
"TLR2",443.802551946673,-2.19369292257514,0.482308182469273,-4.54832201134158,5.40753502230159e-06,0.00130617581707141
"LOC119864313",58.8999568238552,-5.86778254695928,1.28551574413575,-4.56453573106893,5.00600937999749e-06,0.00130617581707141
"LOC119864815",240.470319453411,-5.13566338303911,1.12994355608792,-4.54506187974537,5.4919117524915e-06,0.00130617581707141
"ELF1",546.421160349054,-1.44896418488449,0.318807525630488,-4.54494975304913,5.49483605048451e-06,0.00130617581707141
"LOC119865478",32.5061856523281,-5.43985629798082,1.19398063291898,-4.55606745034195,5.21202058506728e-06,0.00130617581707141
"LOC119865795",151.110288829325,-5.04461710510943,1.11033036027775,-4.54334789498823,5.53677610319289e-06,0.00130617581707141
"TRNAD-GUC.3",316.192112994933,-10.9555482561599,2.41124350927658,-4.543526281776,5.53209043831409e-06,0.00130617581707141
"LOC111092741",16.2579600337938,-6.62604309202793,1.45665577091906,-4.54880502608198,5.39513998410024e-06,0.00130617581707141
"CD80",161.250844128543,-1.31478992981869,0.28834754825455,-4.55974027793019,5.12169250936208e-06,0.00130617581707141
"TRNAP-UGG.4",36.1352543289805,-6.95397421456864,1.5258531667038,-4.55743341909552,5.17824975661838e-06,0.00130617581707141
"PIK3CG",196.77916918954,-1.52730396798648,0.336351778962657,-4.54079348917624,5.60429051572547e-06,0.00131019224218987
"LOC119871741",11.7398615183961,-6.84387315786054,1.51132328729922,-4.52839787183505,5.94325943529282e-06,0.00137703198523079
"LOC119877020",22.1711964986085,2.75280369109243,0.608198972241431,4.52615643355555,6.00661240774555e-06,0.00137939461930086
"KCNK6",524.329166309425,-1.71991205181542,0.382355587145627,-4.49820039156472,6.85310874051193e-06,0.00155164572675665
"VSNL1",23184.0281879739,1.59713723056952,0.355263511568375,4.49564106237274,6.93606567644589e-06,0.00155164572675665
"GREM1",525.508882791567,-1.80284937512053,0.400932957394415,-4.4966355144184,6.90371849657759e-06,0.00155164572675665
"LOC119869840",536.532026031813,-8.78335906336233,1.95988476500489,-4.48156913110166,7.40962227967977e-06,0.00164341622357
"TRNAL-UAG",35.9849954105148,-5.97016747545898,1.33579304593521,-4.4693805628245,7.84464485655982e-06,0.00171065994981284
"LOC119873504",30.9294238394374,-6.10583002989323,1.36590983511771,-4.47015598900571,7.81625695732512e-06,0.00171065994981284
"TRNAG-GCC.1",461.554766090373,-12.1497060315533,2.72041859959919,-4.46611636655601,7.96522962977955e-06,0.00172248090743983
"LOC102156220",72.8822571629753,-3.55633765316013,0.796734327013224,-4.46364306467381,8.05777533624856e-06,0.00172809314029463
"FCMR",404.93756994061,-1.49766898842722,0.335745108172226,-4.46073212080566,8.16801361656546e-06,0.00173737666680224
"IFI44L",220.478992786818,-2.36661495323786,0.53158534862693,-4.45199432104509,8.50764166220562e-06,0.00178042984785674
"LOC119872769",82.545107098547,-5.22627731052606,1.17355022783408,-4.45339039315917,8.45248658620538e-06,0.00178042984785674
"LOC102154711",71.5518571953058,-2.75509774029115,0.619514339879888,-4.44718961763712,8.70010357057137e-06,0.00179219691004583
"LOC119869445",19.1388375779411,-7.27497508569188,1.63587618025081,-4.44714286662972,8.70199655744795e-06,0.00179219691004583
"LOC119867865",17.3197169679344,-7.70418465659724,1.73331781743781,-4.44476170445508,8.79893405865208e-06,0.00179789243166946
"TRNAW-CCA.2",23.5431048413378,-7.64248395224989,1.72054768491647,-4.44189023021524,8.91720503351891e-06,0.00180782398921731
"TRNAV-CAC.6",56.4400580425277,-8.88529353281115,2.00284995312831,-4.43632510709699,9.15076153050154e-06,0.00184079272648461
"TRNAE-UUC",646.101181233543,-12.2060961942092,2.75622203740313,-4.42856055447172,9.48640858058528e-06,0.001879177882948
"TRNAR-CCG",12.9368345307986,-6.16160118417621,1.39102998707343,-4.42952433911186,9.4441154778685e-06,0.001879177882948
"LOC100688849",66.7469978193906,-3.1489950367523,0.712995982470038,-4.4165677145097,1.00280496040383e-05,0.00197142338806662
"LOC119869900",160.813488704902,-6.59816924469975,1.49456620154482,-4.41477215119658,1.01116434586947e-05,0.00197291088536185
"LOC119872457",27.3921212575499,-6.64517697145128,1.50864679587013,-4.40472679863984,1.05917277233824e-05,0.00205115921210278
"BST2",425.866413991262,-2.48120239563099,0.564409191533776,-4.39610557880596,1.10210343214525e-05,0.00211848770845698
"TRNAQ-UUG.2",202.58274521872,-13.3863196759362,3.04858681920062,-4.39099178400512,1.12834804645887e-05,0.00215298763276527
"PALLD",1547.48878501678,-1.13584987669995,0.25884701357209,-4.3881127351064,1.14338507754793e-05,0.00215697223693239
"LOC119866959",54.8362460315101,-5.02017268516323,1.14422118846793,-4.38741454515893,1.14706038033399e-05,0.00215697223693239
"SALL1",726.37350848611,-1.63703354954387,0.373345770123799,-4.38476522447554,1.16110936979108e-05,0.00216768260043731
"TRNAD-GUC.6",150.237474001311,-11.007618208937,2.5122504001008,-4.38157685575265,1.17823467243921e-05,0.00218394212498553
"LOC119867996",17.2268479079645,-4.0122058996259,0.917789145588654,-4.37159876961994,1.23340031179704e-05,0.00226998142490305
"VWA5A",859.827408225806,-2.09006104675131,0.47878380794809,-4.365354492059,1.26916764184034e-05,0.00231935917646174
"LOC119874108",85.447190764413,-5.55415280587252,1.27326518149011,-4.36213358113857,1.28800185598051e-05,0.00233508714265872
"TRNAK-CUU.26",139.282437302098,-10.8477474563193,2.4875487475803,-4.36081804100166,1.29577089997247e-05,0.00233508714265872
"LOC119873139",37.731078793976,-6.43741114670683,1.47731609887387,-4.35750422784531,1.31553958237692e-05,0.00234198660602771
"TRNAT-UGU.5",30.6823999722109,-7.53748308406079,1.72990998273902,-4.35715335437655,1.31764949703293e-05,0.00234198660602771
"C3AR1",543.489336854514,-1.74240948240025,0.400243114695275,-4.35337778071919,1.34055845556066e-05,0.00236649604910198
"LOC111092844",18.4159686574767,-8.33260577815069,1.91537357741305,-4.35038150072264,1.35900882025884e-05,0.00238285668146735
"LOC119864033",92.7103221331537,-4.273234574771,0.982951850565603,-4.34734882722092,1.37792980185621e-05,0.00239981733947441
"SLAIN1",2854.60736581995,-1.06667497005676,0.245808792247778,-4.33945002659439,1.42839743445132e-05,0.00247112756160078
"LOC119869901",136.480714844813,-5.29640253757039,1.22220655970277,-4.33347579058849,1.46773427649653e-05,0.0025057700312556
"ADCY7",1731.62057201734,-1.5878709687358,0.366316933146581,-4.33469169742261,1.45964544387459e-05,0.0025057700312556
"LOC119872406",53.0279065364672,-4.27404966958222,0.987048364833514,-4.33013195893712,1.4902001479701e-05,0.00251108401557299
"LOC119865407",27.618471137198,-3.91249480800934,0.9035157925823,-4.33030041105005,1.48906058564527e-05,0.00251108401557299
"LOC100856620",167.963387935834,1.57510470625023,0.364396060923884,4.32250749982515,1.54265837667358e-05,0.00256731179271541
"CHGB",32546.3321776335,1.5580700461821,0.360463444774853,4.32240791338849,1.54335506614105e-05,0.00256731179271541
"LOC106558299",77.4572003883622,-2.64006155932095,0.610991552599311,-4.32094608851705,1.55361632166642e-05,0.00256778867263811
"LOC119870487",17.2945363177046,-7.48646539327899,1.73315609956895,-4.31955632567716,1.56343202418814e-05,0.00256778867263811
"LOC106558329",71.2680371800884,-1.59980006586256,0.370613963380915,-4.31662113123973,1.58435753467776e-05,0.00256962987655549
"TRNAR-ACG.2",18.4144909541615,-6.98811322183417,1.61838671144406,-4.31795019844102,1.57484952090152e-05,0.00256962987655549
"CD180",331.180430376497,-1.40726027362691,0.326639294035709,-4.30830062188742,1.64513681461881e-05,0.00265163356145081
"PADI2",8144.74970966638,-1.806123979403,0.420151269476644,-4.29874692905909,1.71766462370856e-05,0.00275144425834797
"LOC119873132",18.0563510893983,-5.87667092925122,1.36806892777555,-4.29559564575929,1.7422489861852e-05,0.00277370314058318
"TRNAP-UGG.5",24.8261331510359,-8.25210569349283,1.92189005795703,-4.29374493058403,1.75684301274744e-05,0.00277988269395098
"TRNAK-CUU.5",136.250301997764,-10.810206918428,2.5199948428193,-4.28977342919234,1.7885548916233e-05,0.00281290905682574
"LOC119866208",76.3611110720168,1.53519030795629,0.358273484630829,4.28496769594371,1.82765742667545e-05,0.00285709097724265
"LOC100686105",17.7983911311247,-4.24409258272941,0.993694803116459,-4.27102221871237,1.94579019148631e-05,0.00288532888394684
"C4H1orf198",2616.98545519565,-1.13529939898452,0.265592734030346,-4.27458756780149,1.91491433932775e-05,0.00288532888394684
"TRNAL-CAA",35.0178985157651,-6.68102045444812,1.56375182785054,-4.27243014873501,1.93354132012221e-05,0.00288532888394684
"OR52H9",6.30245674628522,-5.52207920606375,1.29147282975077,-4.27579975269739,1.90452355610956e-05,0.00288532888394684
"LOC111092216",68.6433831456319,-3.04584934904032,0.712782712941347,-4.27318072357761,1.92704142877762e-05,0.00288532888394684
"COL4A3",735.908739305476,-1.69828774342365,0.39748142898566,-4.27262161092039,1.93188129873437e-05,0.00288532888394684
"UGT8",4144.38704501499,-2.06858826653031,0.483162233363741,-4.28135339165263,1.85760088311733e-05,0.00288532888394684
"LOC100856782",676.045825975801,1.95205672976442,0.456296642501059,4.27804315864518,1.88543470614714e-05,0.00288532888394684
"TRNAG-GCC.9",477.266287434643,-10.9742076105711,2.56920239871247,-4.27144533886107,1.94210133636883e-05,0.00288532888394684
"TRNAP-CGG",22.4496776151097,-5.60622020125625,1.31465292203863,-4.26441086257405,2.00430337124132e-05,0.00293851256970126
"MSI1",541.474310822177,-1.65485999351279,0.387993871160584,-4.26517044860194,1.99749649602046e-05,0.00293851256970126
"GPR137B",2327.91158003128,-1.50279391600671,0.353638235113746,-4.24952328902825,2.14225936624117e-05,0.00311391035916309
"PI16",492.03562216351,-2.54889128415398,0.599890126976247,-4.24893021160674,2.14793816682155e-05,0.00311391035916309
"IL13RA1",1624.75428799493,-1.56524126995698,0.36954094092986,-4.23563696628153,2.27904732791709e-05,0.0032856265644138
"LOC119864812",234.003599059623,-4.63172483432817,1.09535063455931,-4.2285316575287,2.35221422470967e-05,0.00337237343266387
"MIR6516",26.9162861572817,-4.22713480234349,1.0009731544889,-4.22302514646547,2.41044913918771e-05,0.00338217970144559
"LOC119874346",12.6093959256105,-4.76115614043647,1.12744627520642,-4.2229561134208,2.41118784110764e-05,0.00338217970144559
"TRNAA-UGC",22.7576789087584,-6.86803924234018,1.62517443379995,-4.22603204892996,2.37848131221758e-05,0.00338217970144559
"TRNAM-CAU.14",374.144851808788,-11.4668937666046,2.71425445142801,-4.22469373148553,2.39265947260281e-05,0.00338217970144559
"LOC475044",39.9630931317389,-3.36271633071935,0.79791144209482,-4.21439793104226,2.50445381005334e-05,0.00347335948570942
