Gene	baseMean	MeanExprSmall	MeanExprLarge	log2FoldChange	FoldChange	lfcSE	stat	pvalue	padj	Direction
LOC119873060	30545.513	79208.999	275.352	-9.243	0.002	1.284	-7.201	5.97e-13	1.84e-08	Down in Large
LOC119872052	127.991	321.274	7.188	-5.489	0.022	0.778	-7.06	1.67e-12	1.90e-08	Down in Large
LOC119877774	1246795.312	3052054.255	118508.472	-4.687	0.039	0.665	-7.045	1.86e-12	1.90e-08	Down in Large
MIR6516	70.43	177.634	3.428	-5.771	0.018	0.878	-6.575	4.85e-11	2.98e-07	Down in Large
LOC119873493	113.025	285.972	4.933	-5.868	0.017	0.891	-6.59	4.41e-11	2.98e-07	Down in Large
TRNAD-GUC	33.332	322.501	0.916	-6.549	0.011	1.028	-6.372	1.87e-10	7.19e-07	Down in Large
LOC119873071	68505.154	176743.587	3358.042	-7.69	0.005	1.204	-6.385	1.72e-10	7.19e-07	Down in Large
LOC119873082	70068.086	180782.123	3406.792	-7.696	0.005	1.207	-6.376	1.82e-10	7.19e-07	Down in Large
LOC119873489	59.821	150.375	3.225	-5.528	0.022	0.883	-6.263	3.79e-10	1.29e-06	Down in Large
IFGGB1	77.349	158.3	26.754	-2.536	0.172	0.409	-6.207	5.39e-10	1.59e-06	Down in Large
LOC119870489	38.258	96.294	1.986	-5.541	0.021	0.894	-6.199	5.69e-10	1.59e-06	Down in Large
LOC119865458	67.417	166.031	5.783	-4.804	0.036	0.779	-6.169	6.86e-10	1.70e-06	Down in Large
LOC119865805	95.307	238.895	5.564	-5.385	0.024	0.876	-6.151	7.72e-10	1.70e-06	Down in Large
TRNAD-GUC.4	68.151	685.659	0.59	-8.227	0.003	1.337	-6.152	7.66e-10	1.70e-06	Down in Large
LOC119865044	65.19	165.606	2.429	-6.123	0.014	1.009	-6.068	1.30e-09	2.66e-06	Down in Large
LOC119873789	39.644	100.231	1.777	-5.863	0.017	0.988	-5.936	2.92e-09	5.61e-06	Down in Large
LOC119866156	12.318	28.64	2.117	-3.645	0.08	0.617	-5.909	3.45e-09	6.23e-06	Down in Large
LOC119867567	83.468	211.485	3.457	-5.943	0.016	1.008	-5.897	3.70e-09	6.32e-06	Down in Large
LOC119873139	59.552	152.62	1.385	-6.886	0.008	1.181	-5.829	5.58e-09	8.67e-06	Down in Large
TRNAD-GUC.1	41.154	407.957	0.757	-7.243	0.007	1.243	-5.827	5.64e-09	8.67e-06	Down in Large
TRNAG-CCC.1	237.749	3045.853	0.439	-10.419	0.001	1.806	-5.767	8.05e-09	1.18e-05	Down in Large
LOC119863924.1	10.682	27.773	0	-7.502	0.006	1.315	-5.707	1.15e-08	1.57e-05	Down in Large
LOC102157137	90.885	181.382	34.324	-2.342	0.197	0.411	-5.703	1.18e-08	1.57e-05	Down in Large
LOC119864356	18345.777	104889.693	286.137	-8.322	0.003	1.468	-5.669	1.44e-08	1.84e-05	Down in Large
LOC119874884	744.425	6832.581	35.151	-5.74	0.019	1.029	-5.58	2.40e-08	2.84e-05	Down in Large
LOC119865803	59.13	151.929	1.131	-7.143	0.007	1.28	-5.58	2.41e-08	2.84e-05	Down in Large
LOC119874872	720.541	6632.2	33.579	-5.76	0.018	1.035	-5.563	2.65e-08	3.01e-05	Down in Large
TRNAG-GCC.3	69.028	705.444	0.527	-8.783	0.002	1.582	-5.551	2.83e-08	3.11e-05	Down in Large
LOC119874885	716.749	6618.285	36.113	-5.644	0.02	1.02	-5.533	3.16e-08	3.34e-05	Down in Large
LOC119869668	29.181	73.471	1.499	-5.595	0.021	1.016	-5.509	3.61e-08	3.70e-05	Down in Large
LOC119865795	154.33	381.179	12.549	-4.925	0.033	0.91	-5.412	6.24e-08	6.19e-05	Down in Large
TRNAV-CAC	32.116	383.675	0.258	-7.808	0.004	1.452	-5.376	7.61e-08	7.24e-05	Down in Large
LOC119864815	235.129	580.996	18.962	-4.936	0.033	0.919	-5.372	7.77e-08	7.24e-05	Down in Large
TRNAG-GCC.7	52.967	493.453	0.135	-9.408	0.001	1.763	-5.335	9.57e-08	8.65e-05	Down in Large
LOC119870593	37.32	83.711	39.208	-3.394	0.095	0.641	-5.297	1.18e-07	1.03e-04	Down in Large
LOC119869429	39.82	95.991	4.713	-4.381	0.048	0.829	-5.286	1.25e-07	1.04e-04	Down in Large
TRNAG-GCC.6	51.837	482.607	0.135	-9.376	0.002	1.774	-5.286	1.25e-07	1.04e-04	Down in Large
LOC475044	47.092	108.196	8.901	-3.6	0.082	0.682	-5.28	1.29e-07	1.05e-04	Down in Large
LOC119872769	80.276	198.437	6.425	-4.934	0.033	0.938	-5.261	1.44e-07	1.10e-04	Down in Large
LOC106559691	95.82	221.512	17.263	-3.67	0.079	0.697	-5.265	1.40e-07	1.10e-04	Down in Large
LOC119864496	19.402	50.334	13.809	-8.155	0.004	1.559	-5.231	1.68e-07	1.15e-04	Down in Large
LOC119869452	1471.812	3756.816	43.684	-6.432	0.012	1.226	-5.248	1.54e-07	1.15e-04	Down in Large
LOC119864844	164.403	407.471	12.486	-5.027	0.031	0.959	-5.243	1.58e-07	1.15e-04	Down in Large
