NAME	TITLE	SCORE	
LOC610388		5.990059	
LOC100688281		5.581541	
CACYBP		5.491312	
LOC474739		5.319125	
LOC100685369		5.066379	
MYL12B		4.9945073	
LOC100688969		4.784661	
LOC100856620		4.7333946	
LOC100688737		4.6992583	
VSNL1		4.6295123	
SNAP25		4.6250973	
LOC119868462		4.5410523	
LOC100688350		4.436312	
LOC119866208		4.360741	
LOC119873859		4.2993746	
RBP4		4.2437034	
LOC607182		4.2348204	
LOC608876		4.159088	
LOC480059		4.084177	
LOC100685416		4.0831194	
NPY5R		4.082677	
TMEM183A		4.0789447	
LOC119880298		4.0762234	
GNAI1		4.059072	
CAMKK2		4.0181665	
WRNIP1		3.9341283	
LOC119877020		3.8805046	
RAB5IF		3.854515	
PAK1		3.8317795	
LOC610978		3.7535741	
LOC100856782		3.7465138	
LOC607833		3.6716933	
LOC100684996		3.6550643	
GABBR1		3.654758	
LOC609911		3.6454058	
PRPF18		3.6385763	
LOC100684047		3.5956998	
LOC102154649		3.5952346	
LOC100682542		3.5859318	
LOC119874932		3.5828917	
LOC100855928		3.5824652	
LOC100683665		3.573632	
LOC102151754		3.5566616	
LOC119870462		3.555585	
LOC610641		3.5545607	
LOC479600		3.5316176	
LOC119864483		3.4991932	
RASL11B		3.4662092	
TCEAL1		3.4555106	
LOC608929		3.444318	
CHMP7		3.441971	
LOC100686132		3.4388287	
KLHL12		3.4302237	
LOC100682701		3.4226933	
MTMR1		3.4198503	
LYSMD2		3.4038613	
C9H9orf78		3.4013696	
LOC111090984		3.3935878	
LOC102156762		3.3901742	
LOC607666		3.3812306	
LOC100687175		3.3681946	
ABCF2		3.3647387	
AP2M1		3.3615055	
ZCCHC17		3.3487804	
RUNDC3A		3.3171	
LOC475101		3.3105912	
ARL6IP4		3.2919328	
LOC479379		3.2533095	
ANKRD37		3.2519178	
AP3D1		3.241793	
LOC100685534		3.226099	
LOC102157392		3.2258432	
LOC119866625		3.2219176	
CHGB		3.2193687	
NDUFA8		3.2083538	
OLFM1		3.207784	
LOC478381		3.1834357	
LOC102154486		3.1696448	
LOC610407		3.1674814	
PPP3CB		3.1651895	
IDI1		3.1638653	
NDUFAB1		3.160908	
SNAP47		3.1534917	
LOC100683724		3.1499805	
CLTA		3.1389768	
TFDP1		3.1279118	
SNUPN		3.1235325	
FKBP4		3.1185153	
EXOC3		3.1131344	
LOC610034		3.1043267	
LOC102152785		3.083202	
CAMK2N1		3.0538738	
LOC119864623		3.0484624	
BEX4		3.045561	
LOC478075		3.0445423	
TNNC1		3.0357857	
LOC608802		3.030491	
NELL2		3.026256	
LOC100684448		3.0080388	
LOC102152271		3.005457	
DDX24		2.9978912	
LOC480926		2.980004	
IER2		2.972392	
STIP1		2.9689357	
TUBA1C		2.9623578	
IGBP1		2.9594803	
NEDD8		2.9580374	
CENPV		2.9569373	
UQCR10		2.946318	
GRIPAP1		2.9433944	
CIAO2B		2.9420302	
FABP3		2.941111	
DUSP5		2.9176726	
LOC100688940		2.9058	
NPTN		2.9011843	
GNB5		2.8969665	
SSX2IP		2.8956628	
SDF4		2.8923566	
LOC100687127		2.8900108	
HS3ST2		2.8899715	
TXNL4A		2.8865554	
LOC106558828		2.8794205	
RPL37		2.879	
MALSU1		2.8746715	
