Gene	baseMean	log2FoldChange	pvalue	padj
TRNAE-UUC.4	201.63	-12	1.61e-05	2.67e-03
TRNAG-CCC.3	192.52	-11.73	9.75e-05	7.72e-03
TRNAG-CCC.1	237.75	-10.42	8.05e-09	1.18e-05
TRNAG-GCC	132.33	-10.1	7.79e-04	2.49e-02
TRNAE-UUC	117.1	-9.97	5.82e-05	5.58e-03
TRNAE-UUC.5	189.31	-9.97	6.87e-07	3.35e-04
TRNAQ-CUG.9	60.09	-9.96	9.33e-04	2.75e-02
TRNAQ-CUG.8	57.84	-9.91	9.96e-04	2.86e-02
TRNASTOP-UCA	89.93	-9.84	2.23e-04	1.25e-02
TRNAE-UUC.7	123.24	-9.69	2.09e-05	3.06e-03
TRNAQ-CUG	52.84	-9.59	1.72e-04	1.11e-02
TRNAV-UAC.2	61.56	-9.45	1.68e-03	3.78e-02
TRNAM-CAU.17	53.96	-9.44	3.04e-04	1.49e-02
ZAN	19.57	-9.42	1.87e-04	1.15e-02
TRNAG-GCC.7	52.97	-9.41	9.57e-08	8.65e-05
TRNAG-GCC.6	51.84	-9.38	1.25e-07	1.04e-04
TRNAQ-CUG.5	38.92	-9.33	1.88e-04	1.15e-02
TRNAG-GCC.1	91.17	-9.29	9.02e-06	1.81e-03
TRNAD-GUC.2	47.92	-9.27	2.07e-03	4.22e-02
TRNAG-GCC.5	72.24	-9.25	9.06e-06	1.81e-03
LOC119873060	30545.51	-9.24	5.97e-13	1.84e-08
TRNAM-CAU.18	50.56	-9.17	2.32e-03	4.47e-02
TRNAV-CAC.7	38.8	-9.15	2.38e-03	4.51e-02
TRNAM-CAU.14	64.39	-9.12	9.33e-04	2.75e-02
TRNAM-CAU.6	64.61	-9.08	1.48e-05	2.53e-03
