Gene	baseMean	log2FoldChange	pvalue	padj
LOC100686565	41.77	4.92	1.30e-02	1.05e-01
LOC119880298	4.75	4.42	8.39e-05	6.99e-03
LOC111091407	2.89	4.15	1.71e-01	3.86e-01
LOC100688575	2.36	3.87	3.81e-02	1.78e-01
LOC102152017	18.23	3.79	2.71e-02	1.50e-01
LOC119873216	5.45	3.53	4.79e-02	1.99e-01
LOC100684393	1.8	3.47	2.53e-01	      NA
LOC106559913	14.28	3.29	2.42e-02	1.42e-01
LOC102151133	9.12	3.22	2.06e-01	4.27e-01
LOC100682701	77.09	3.07	3.78e-04	1.69e-02
LOC111094949	17.13	3.03	3.61e-03	5.61e-02
LOC100855928	647.5	3.03	2.62e-04	1.37e-02
LOC111095696	1.34	3.03	3.19e-01	      NA
LOC102151372	3.29	3.02	1.24e-01	3.23e-01
LOC100683665	17.25	2.97	2.67e-04	1.37e-02
LOC111091490	1.77	2.93	1.40e-01	      NA
LOC102157392	149.85	2.88	5.95e-04	2.15e-02
LOC111095471	1.21	2.87	3.44e-01	      NA
LOC119879832	1.21	2.87	3.45e-01	      NA
LOC102154322	1.82	2.87	1.01e-01	      NA
LOC102154182	31.03	2.85	5.51e-02	2.12e-01
LOC111090438	1.19	2.85	3.48e-01	      NA
LOC100687828	16.84	2.81	8.25e-03	8.38e-02
LOC111094257	1.15	2.8	3.56e-01	      NA
TCN1	2.15	2.75	3.63e-01	5.81e-01
