Gene	Variance
RN7SL1	29.8029
LOC119873082	20.0275
LOC119873071	19.9112
LOC119873463	18.3225
LOC119864356	17.0797
NRGN	17.0465
LOC119873452	16.9235
RPPH1	16.6663
LOC119873060	16.2179
LOC119875699	15.9559
LOC119875698	15.8479
LOC119876683	15.7833
FAT2	15.2155
LOC119873474	14.1276
LOC119868528	14.0621
LOC119877776	13.8381
LOC119873514	13.5
GABRA6	13.2903
LOC102156855	11.7641
LOC119867581	11.4717
LOC119877734	11.3928
LOC119877775	11.3033
LOC119866456	11.0356
TTR	10.9565
LOC119870175	10.8709
LOC119873485	10.7988
LOC119865807	10.7756
LOC119866292	10.7438
DDN	10.5741
TLE5	10.4062
SLC25A22	10.1721
CBLN3	9.5969
LOC119873495	9.5294
LOC119872067	9.4899
NRK	9.4192
LOC119870595	9.4066
LOC119866294	9.2821
LOC119877738	9.2594
CAMKV	9.2441
LOC111093535	8.9938
CCK	8.8495
LOC119877739	8.8239
NPY	8.6162
ENC1	8.4824
MPPED1	8.3879
GDA	8.3086
SST	8.2673
KCNV1	8.2192
LOC119872424	7.6264
LOC119864345	7.4866
