Run	Assay Type	BioSample	Center Name	Consent	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Bytes	DATASTORE filetype	DATASTORE provider	DATASTORE region	AvgSpotLen	Bases	create_date	version	BioProject	sub_species		tissue	Library Name	source_name	BREED	sex	age	GEO_Accession (exp)	treatment	BioSampleModel	cell_type	collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	cell_line	dev_stage	disease	sample_type	Sample_name	strain	isolate	AssemblyName	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	common_name	diagnosis	INSDC_center_name	INSDC_status	Submitter_Id	Cultivar	ecotype	INSDC_last_update	BIOMATERIAL_PROVIDER	external_id	genotype	tumor_grade	INSDC_first_public	date_of_surgery	ER_Allred_score	ER_status	lymphatic_vessel_invasion	Neuter_status	Scientific_Name	disease_state	ena_first_public	ena_last_update	Sample_id	dog_id	replicate	HER2_Score(Hercep_test_Score)	survival_status(until_2018-08-01)	ENA_first_public	isolation_source	Broker_name	phenotype	health_state	time	individual	Specimen_voucher	developmental_stage	INSDC_center_alias	tumor_location	tumor_type	geographic_location_(country_and/or_sea)	organism_part	ena_last_update	histopathological_classification	patient_id	store_cond	date_of_death	disease_stage	intentional_duplicate (run)	description	death_date	dethist	goldschmidt	histology	library_prep	patient_number	repselect	rin	sequencing_run	simhist	tumor_diameter	cell_line_short_name	Survival	collected_by	tumor	birth_date	Group	prep_type	library_prep_batch	organism_common_name	infection	tissue_type	genotype/variation	id	In-house_label (run)	library_name	birth_location	gender	developmental_age	Pedigree	sex_chromosomes	estimated_age	estimated_breed	Institution	Biological_Replicate	date_of_diagnosis	sampling_site	treatment_regime	storage_conditions	cell_passage	stimulus	Experimental_Factor:_phenotype (exp)	Alternate_Taxon_ID	location_of_metastasis	breeding_method	tissue_preservation	date_of_PD	immunophenotype	nature
SRR10351667	RNA-Seq	SAMN13133763	THE JACKSON LABORATORY	public	SRX7061435	Illumina HiSeq 4000	PAIRED	other	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2020-01-28T00:00:00Z	i_C3C0	SRP227117	9030728378	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	151	50481622514	2019-10-28T21:26:00Z	1	PRJNA579792	familiaris		Brain	i_C3C0-T1-A1-J03		(English) Bulldog	female	6			Model organism or animal								glioma				i_C3C0	AAEX03											"Roel Verhaak\, The Jackson Laboratory\, 10 Discovery Dr\, Farmington\, CT 06032"																																																																																									
SRR3587084	miRNA-Seq	SAMN04962292	BROAD INSTITUTE	public	SRX1799897	Illumina HiSeq 2000	PAIRED	size fractionation	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2016-05-30T00:00:00Z	Zyagen2_Brain	SRP075032	298248805	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	36	581097420	2016-05-25T16:15:00Z	1	PRJNA305157	familiaris		Brain	Zyagen2_Brain		Beagle	not determined	Missing			Model organism or animal							Adult				Not applicable	Not applicable	GCA_000002285.2								Not applicable	Not applicable																																																																																											
SRR3659924	RNA-Seq	SAMN05234772	GEO	public	SRX1838995	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2017-01-03T00:00:00Z	GSM2198084	SRP076478	36691421	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	36	57188736	2016-06-13T13:41:00Z	1	PRJNA325490	familiaris		Brain		Brain	Beagle	male		GSM2198084	Untreated																																																																																			Qiagen RNeasy_96																															
SRR3659937	RNA-Seq	SAMN05234758	GEO	public	SRX1839008	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2017-01-03T00:00:00Z	GSM2198097	SRP076478	127055741	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	36	197350596	2016-06-13T13:42:00Z	1	PRJNA325490	familiaris		Brain		Brain	Beagle	male		GSM2198097	Untreated																																																																																			Qiagen RNeasy_96																															
SRR3659951	RNA-Seq	SAMN05234796	GEO	public	SRX1839022	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2017-01-03T00:00:00Z	GSM2198111	SRP076478	78226685	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	36	127161144	2016-06-13T13:43:00Z	1	PRJNA325490	familiaris		Brain		Brain	Beagle	male		GSM2198111	Untreated																																																																																			Qiagen RNeasy_96																															
SRR3659965	RNA-Seq	SAMN05234810	GEO	public	SRX1839036	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2017-01-03T00:00:00Z	GSM2198125	SRP076478	56267827	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	36	92108304	2016-06-13T13:43:00Z	1	PRJNA325490	familiaris		Brain		Brain	Beagle	male		GSM2198125	Untreated																																																																																			Qiagen RNeasy_96																															
SRR3659978	RNA-Seq	SAMN05234754	GEO	public	SRX1839049	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2017-01-03T00:00:00Z	GSM2198138	SRP076478	96750228	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	36	164257848	2016-06-13T13:43:00Z	1	PRJNA325490	familiaris		Brain		Brain	Beagle	male		GSM2198138	Untreated																																																																																			Qiagen RNeasy_96																															
SRR10351679	RNA-Seq	SAMN13133770	THE JACKSON LABORATORY	public	SRX7061423	Illumina HiSeq 4000	PAIRED	other	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2020-01-28T00:00:00Z	i_6561	SRP227117	2590388611	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	151	10193977700	2019-10-27T20:12:00Z	1	PRJNA579792	familiaris		Brain	i_6561-T1-A1-J03		Beagle X	male	8			Model organism or animal								glioma				i_6561	AAEX03											"Roel Verhaak\, The Jackson Laboratory\, 10 Discovery Dr\, Farmington\, CT 06032"																																																																																									
SRR10351672	RNA-Seq	SAMN13133753	THE JACKSON LABORATORY	public	SRX7061430	Illumina HiSeq 4000	PAIRED	other	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2020-01-28T00:00:00Z	i_B023	SRP227117	2700338953	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	151	11733509136	2019-10-27T08:47:00Z	1	PRJNA579792	familiaris		Brain	i_B023-T1-A1-J03		Boston	male	7			Model organism or animal								glioma				i_B023	AAEX03											"Roel Verhaak\, The Jackson Laboratory\, 10 Discovery Dr\, Farmington\, CT 06032"																																																																																									
SRR10351690	RNA-Seq	SAMN13133754	THE JACKSON LABORATORY	public	SRX7061412	Illumina HiSeq 4000	PAIRED	other	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2020-01-28T00:00:00Z	i_0FF0	SRP227117	3508899976	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	151	12722406781	2019-10-27T08:52:00Z	1	PRJNA579792	familiaris		Brain	i_0FF0-T1-A1-J03		Boston Terr	male	5			Model organism or animal								glioma				i_0FF0	AAEX03											"Roel Verhaak\, The Jackson Laboratory\, 10 Discovery Dr\, Farmington\, CT 06032"																																																																																									
