Run	Assay Type	BioSample	Center Name	Consent	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Bytes	DATASTORE filetype	DATASTORE provider	DATASTORE region	AvgSpotLen	Bases	create_date	version	BioProject	sub_species		tissue	Library Name	source_name	BREED	sex	age	GEO_Accession (exp)	treatment	BioSampleModel	cell_type	collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	cell_line	dev_stage	disease	sample_type	Sample_name	strain	isolate	AssemblyName	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	common_name	diagnosis	INSDC_center_name	INSDC_status	Submitter_Id	Cultivar	ecotype	INSDC_last_update	BIOMATERIAL_PROVIDER	external_id	genotype	tumor_grade	INSDC_first_public	date_of_surgery	ER_Allred_score	ER_status	lymphatic_vessel_invasion	Neuter_status	Scientific_Name	disease_state	ena_first_public	ena_last_update	Sample_id	dog_id	replicate	HER2_Score(Hercep_test_Score)	survival_status(until_2018-08-01)	ENA_first_public	isolation_source	Broker_name	phenotype	health_state	time	individual	Specimen_voucher	developmental_stage	INSDC_center_alias	tumor_location	tumor_type	geographic_location_(country_and/or_sea)	organism_part	ena_last_update	histopathological_classification	patient_id	store_cond	date_of_death	disease_stage	intentional_duplicate (run)	description	death_date	dethist	goldschmidt	histology	library_prep	patient_number	repselect	rin	sequencing_run	simhist	tumor_diameter	cell_line_short_name	Survival	collected_by	tumor	birth_date	Group	prep_type	library_prep_batch	organism_common_name	infection	tissue_type	genotype/variation	id	In-house_label (run)	library_name	birth_location	gender	developmental_age	Pedigree	sex_chromosomes	estimated_age	estimated_breed	Institution	Biological_Replicate	date_of_diagnosis	sampling_site	treatment_regime	storage_conditions	cell_passage	stimulus	Experimental_Factor:_phenotype (exp)	Alternate_Taxon_ID	location_of_metastasis	breeding_method	tissue_preservation	date_of_PD	immunophenotype	nature
SRR23641214	RNA-Seq	SAMN33483385	PRINCETON UNIVERSITY	public	SRX19523800	Illumina NovaSeq 6000	PAIRED	PCR	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2024-01-23T00:00:00Z	12544	SRP424956	2189102618	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	300	14315045507	2023-02-28T14:52:00Z	1	PRJNA939639	familiaris		Brainstem (Pons)	12544_RNASeq		Beagle	female	3			Model organism or animal							not applicable				not applicable	Beagle_4	AAEX03								not applicable	not applicable		"Department of Ethology\, E??tv??s Lor?°nd University\, Budapest\, Hungary"		noinsertion																																																																																							
SRR23641219	RNA-Seq	SAMN33483380	PRINCETON UNIVERSITY	public	SRX19523795	Illumina NovaSeq 6000	PAIRED	PCR	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2024-01-23T00:00:00Z	12528	SRP424956	2163446625	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	300	14837998318	2023-02-28T14:43:00Z	1	PRJNA939639	familiaris		Brainstem (Pons)	12528_RNASeq		Border Collie	female	1			Model organism or animal							not applicable				not applicable	Border_Collie_1	AAEX03								not applicable	not applicable		"Department of Ethology\, E??tv??s Lor?°nd University\, Budapest\, Hungary"		noinsertion																																																																																							
SRR23641217	RNA-Seq	SAMN33483382	PRINCETON UNIVERSITY	public	SRX19523797	Illumina NovaSeq 6000	PAIRED	PCR	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2024-01-23T00:00:00Z	12534	SRP424956	1056362826	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	300	7778648240	2023-02-28T14:18:00Z	1	PRJNA939639	familiaris		Brainstem (Pons)	12534_RNASeq		Dobermann	female	7			Model organism or animal							not applicable				not applicable	Dobermann_1	AAEX03								not applicable	not applicable		"Department of Ethology\, E??tv??s Lor?°nd University\, Budapest\, Hungary"		heterozygous																																																																																							
SRR23641211	RNA-Seq	SAMN33483388	PRINCETON UNIVERSITY	public	SRX19523803	Illumina NovaSeq 6000	PAIRED	PCR	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2024-01-23T00:00:00Z	12551	SRP424956	1916377341	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	300	12743983849	2023-02-28T14:31:00Z	1	PRJNA939639	familiaris		Brainstem (Pons)	12551_RNASeq		Miniature Poodle	female	12			Model organism or animal							not applicable				not applicable	Miniature_Poodle_1	AAEX03								not applicable	not applicable		"Department of Ethology\, E??tv??s Lor?°nd University\, Budapest\, Hungary"		noinsertion																																																																																							
SRR23641213	RNA-Seq	SAMN33483386	PRINCETON UNIVERSITY	public	SRX19523801	Illumina NovaSeq 6000	PAIRED	PCR	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2024-01-23T00:00:00Z	12545	SRP424956	2667548454	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	300	17266565742	2023-02-28T14:28:00Z	1	PRJNA939639	familiaris		Brainstem (Pons)	12545_RNASeq		Yorkshire Terrier	female	6			Model organism or animal							not applicable				not applicable	Yorkshire_Terrier_1	AAEX03								not applicable	not applicable		"Department of Ethology\, E??tv??s Lor?°nd University\, Budapest\, Hungary"		heterozygous																																																																																							
SRR8997015	RNA-Seq	SAMN11526802	BROAD INSTITUTE	public	SRX5775795	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2019-05-01T00:00:00Z	Dozer_386519_cerebellum	SRP114662	1452500942	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	202	7426434858	2019-05-01T13:13:00Z	1	PRJNA396033	familiaris		Cerebellum	Dozer_386519_cerebellum		Belgian Malanois	male	3			Model organism or animal							Adult				not applicable	not applicable	AAEX03								not applicable	not applicable		"Dr. Andrew M. Hoffman\, Cummings School of Veterinary Medicine\, Tufts University"																																																																																									
SRR8997035	RNA-Seq	SAMN11526776	BROAD INSTITUTE	public	SRX5775775	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2019-05-01T00:00:00Z	Crak_358336_Cerebellum	SRP114662	2596661530	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	202	10413902546	2019-05-01T13:16:00Z	1	PRJNA396033	familiaris		Cerebellum	Crak_358336_Cerebellum		Belgian Malanois	male	2			Model organism or animal							Adult				not applicable	not applicable	AAEX03								not applicable	not applicable		"Dr. Andrew M. Hoffman\, Cummings School of Veterinary Medicine\, Tufts University"																																																																																									
SRR3727718	RNA-Seq	SAMN05300653	CNRS-UNIVERSITY RENNES1	public	SRX1884103	Illumina HiSeq 2000	PAIRED	RANDOM	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2016-09-01T00:00:00Z	CEREBELLUM_GSMD	SRP077559	4636525458	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	152	6825235480	2016-06-29T09:20:00Z	1	PRJNA327075	familiaris		Cerebellum	5300653		Great Swiss Mountain Dog	missing	missing			Model organism or animal																																																																																																																	
SRR8996999	RNA-Seq	SAMN11526829	BROAD INSTITUTE	public	SRX5775811	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2019-05-01T00:00:00Z	SanMcg_349891_cerebellum	SRP114662	3080882946	"bam,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	202	8478989188	2019-05-01T13:08:00Z	1	PRJNA396033	familiaris		Cerebellum	SanMcg_349891_cerebellum		Newfoundland	male	11			Model organism or animal							Adult				not applicable	not applicable									not applicable	not applicable		"Dr. Andrew M. Hoffman\, Cummings School of Veterinary Medicine\, Tufts University"																																																																																									
DRR305797	RNA-Seq	SAMD00388885	RIKEN	public	DRX295233	Illumina HiSeq 2500	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Canis lupus familiaris	ILLUMINA	2023-12-04T00:00:00Z	SAMD00388885	DRP010831	6230969512	"run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	202	11920021414	2023-12-04T10:16:00Z	1	PRJDB11793	familiaris		Cerebellum			Toy poodle															Dog with adult onset ataxia 1																																																																																									1														
