Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC119873060	30545.51	-9.24	1.284	-7.2	5.97e-13	1.84e-08
LOC119872052	127.99	-5.49	0.778	-7.06	1.67e-12	1.90e-08
LOC119877774	1246795.31	-4.69	0.665	-7.04	1.86e-12	1.90e-08
MIR6516	70.43	-5.77	0.878	-6.58	4.85e-11	2.98e-07
LOC119873493	113.02	-5.87	0.891	-6.59	4.41e-11	2.98e-07
TRNAD-GUC	33.33	-6.55	1.028	-6.37	1.87e-10	7.19e-07
LOC119873071	68505.15	-7.69	1.204	-6.38	1.72e-10	7.19e-07
LOC119873082	70068.09	-7.7	1.207	-6.38	1.82e-10	7.19e-07
LOC119873489	59.82	-5.53	0.883	-6.26	3.79e-10	1.29e-06
IFGGB1	77.35	-2.54	0.409	-6.21	5.39e-10	1.59e-06
LOC119870489	38.26	-5.54	0.894	-6.2	5.69e-10	1.59e-06
LOC119865458	67.42	-4.8	0.779	-6.17	6.86e-10	1.70e-06
LOC119865805	95.31	-5.39	0.876	-6.15	7.72e-10	1.70e-06
TRNAD-GUC.4	68.15	-8.23	1.337	-6.15	7.66e-10	1.70e-06
LOC119865044	65.19	-6.12	1.009	-6.07	1.30e-09	2.66e-06
LOC119873789	39.64	-5.86	0.988	-5.94	2.92e-09	5.61e-06
LOC119866156	12.32	-3.65	0.617	-5.91	3.45e-09	6.23e-06
LOC119867567	83.47	-5.94	1.008	-5.9	3.70e-09	6.32e-06
LOC119873139	59.55	-6.89	1.181	-5.83	5.58e-09	8.67e-06
TRNAD-GUC.1	41.15	-7.24	1.243	-5.83	5.64e-09	8.67e-06
TRNAG-CCC.1	237.75	-10.42	1.806	-5.77	8.05e-09	1.18e-05
LOC119863924.1	10.68	-7.5	1.315	-5.71	1.15e-08	1.57e-05
LOC102157137	90.88	-2.34	0.411	-5.7	1.18e-08	1.57e-05
LOC119864356	18345.78	-8.32	1.468	-5.67	1.44e-08	1.84e-05
LOC119874884	744.42	-5.74	1.029	-5.58	2.40e-08	2.84e-05
LOC119865803	59.13	-7.14	1.28	-5.58	2.41e-08	2.84e-05
LOC119874872	720.54	-5.76	1.035	-5.56	2.65e-08	3.01e-05
TRNAG-GCC.3	69.03	-8.78	1.582	-5.55	2.83e-08	3.11e-05
LOC119874885	716.75	-5.64	1.02	-5.53	3.16e-08	3.34e-05
LOC119869668	29.18	-5.6	1.016	-5.51	3.61e-08	3.70e-05
LOC119865795	154.33	-4.93	0.91	-5.41	6.24e-08	6.19e-05
TRNAV-CAC	32.12	-7.81	1.452	-5.38	7.61e-08	7.24e-05
LOC119864815	235.13	-4.94	0.919	-5.37	7.77e-08	7.24e-05
TRNAG-GCC.7	52.97	-9.41	1.763	-5.33	9.57e-08	8.65e-05
LOC119870593	37.32	-3.39	0.641	-5.3	1.18e-07	1.03e-04
LOC119869429	39.82	-4.38	0.829	-5.29	1.25e-07	1.04e-04
TRNAG-GCC.6	51.84	-9.38	1.774	-5.29	1.25e-07	1.04e-04
LOC475044	47.09	-3.6	0.682	-5.28	1.29e-07	1.05e-04
LOC106559691	95.82	-3.67	0.697	-5.27	1.40e-07	1.10e-04
LOC119872769	80.28	-4.93	0.938	-5.26	1.44e-07	1.10e-04
LOC119864496	19.4	-8.15	1.559	-5.23	1.68e-07	1.15e-04
LOC119869452	1471.81	-6.43	1.226	-5.25	1.54e-07	1.15e-04
LOC119864844	164.4	-5.03	0.959	-5.24	1.58e-07	1.15e-04
TRNAD-GUC.7	40.61	-7.98	1.526	-5.23	1.68e-07	1.15e-04
TRNAD-GUC.9	61.87	-8.62	1.646	-5.24	1.62e-07	1.15e-04
TRNAD-GUC.6	33.23	-8.54	1.636	-5.22	1.80e-07	1.20e-04
LOC119872736	41.47	-4.92	0.95	-5.18	2.19e-07	1.43e-04
TRNAL-AAG.3	17.94	-5.66	1.093	-5.18	2.26e-07	1.45e-04
LOC119873504	27.45	-5.79	1.12	-5.17	2.32e-07	1.46e-04
LOC119867267	43.76	-4.18	0.811	-5.16	2.51e-07	1.54e-04
